id,desarrolladora,proyecto_activo,zona,ciudad,provincia,website,instagram,fuente,segmento,estado,decisor,cargo,linkedin,whatsapp,email,notas
1,Lepore Propiedades,"Lavalle Plaza, Dorrego Place, Espacio Scalabrini, INTI 2, Smart Point V.Urquiza, Senillosa 790, Laprida 1339, Scalabrini 550",Caballito / Palermo / V. Crespo / V. Urquiza / B. Norte / Belgrano,CABA,Buenos Aires,lepore.com.ar,@leporepropiedades,Argenprop,A - ICP ideal,Sin contactar,,,,,,+40 años. Sucursales Caballito-Palermo-Nuñez. 8+ emprendimientos simultáneos en pozo. CUIT 33-60234274-9. Fundada 1980. Ideal Plan Studio.
2,Ocampo Propiedades,"Diverso Nuñez, Levié by Qube, Be Nature, Cubik, Petit Palais Sinclair, BYC, Maior Polo",Nuñez / Las Cañitas / Varios,CABA,Buenos Aires,ocampopropiedades.com,@ocampopropiedades,Zonaprop / Google,A - ICP ideal,Sin contactar,,,,,,"Divisiones: Real Estate, Developments, Corporate, Marketing. 7+ emprendimientos. Muy activos en portales."
3,Grupo Portland,"Palmera Nova (117 dptos), L'Avenue Libertador (96 dptos), Open Buenavista (355 dptos)",Nuñez / Palermo / San Fernando,CABA / GBA,Buenos Aires,grupoportland.com,@grupoportland,Google,A - ICP ideal,Sin contactar,,,,,,"Mediana-grande. 3+ proyectos con volumen alto. Ideal Plan Pro o Studio."
4,ÁVITA Desarrollos Inmobiliarios,"Av. Belgrano 1651, Crisóstomo Álvarez 1073, Av. Sarmiento 14, Chiara",Centro,San Miguel de Tucumán,Tucumán,avitatuc.com,@avitatuc,Google,A - ICP ideal,Sin contactar,,,,,,Foco en pequeños ahorristas. Financiación 120 cuotas. 4 emprendimientos activos. Mercado sin competencia tech.
5,Houser,"Houser Pueyrredón, Houser Alvear, Houser Dorrego, Houser Alumni",Centro / Varios,Rosario,Santa Fe,houser.com.ar,@houserrosario,Google,A - ICP ideal,Sin contactar,,,,,,"Especializada en dptos luminosos. Múltiples proyectos en pozo. Rosario virgen para tech."
6,STD Desarrollos S.A.,Las Heras Garden (Av. Maipú 663 - 110 dptos),Vicente López,GBA Norte,Buenos Aires,,,Argenprop,A - ICP ideal,Sin contactar,,,,,,110 departamentos 1-2-3-5 amb. Amenities completos. Financiación 20% + 36 cuotas CAC.
7,Gomez de Montanari Desarrollos,"Amenabar 2501 (Belgrano), Pueyrredón 3900 (San Martín)",Belgrano / San Martín,CABA / GBA,Buenos Aires,,,Argenprop,A - ICP ideal,Sin contactar,Adriana Gomez de Montanari,,,,,"30+ años. Oficinas San Martín y Santos Lugares. Financian 120 cuotas. CSM Mt 1590."
8,Daimar Developers,"Agüero 782 (Almagro), Castillo 22 (V. Crespo), 13+ edificios entregados",Almagro / Villa Crespo,CABA,Buenos Aires,daimardevelopers.com,,Google / Argenprop,A - ICP ideal,Sin contactar,,,,,,"Fundada 1996. 500+ dptos entregados. 13 edificios vendidos. Servicio integral: terreno a comercialización. Oficina: Olazábal 1515 4°."
9,Spazios,"Múltiples proyectos en CABA y GBA, financiación 30 años",Belgrano / Devoto / Caseros,CABA / GBA,Buenos Aires,spazios.com.ar,@spazios.desarrolladora,Instagram / Google,A - ICP ideal,Sin contactar,,,,,,"Se posiciona como la #1 de Buenos Aires. Oficinas en Belgrano-Devoto-Caseros. Financiación hasta 30 años. Alto volumen."
10,Grupo Dinal,"Tao Bosque, Tao Parque, Punta de Arenas XIII, proyectos en Luján y MdP",San Martín / Luján / Mar del Plata,Multi-ciudad,Buenos Aires,grupodinal.com,@grupodinal,Google,A - ICP ideal,Sin contactar,,,,,,30 años. 1350 unidades vendidas. 75 desarrollos. Proyectos sustentables. Multi-ciudad.
11,Brody Friedman,"Quo Swim (Palermo Hollywood 89 dptos), Quo Costa Rica",Palermo Hollywood,CABA,Buenos Aires,brodyfriedman.com,,Google,B - ICP probable,Sin contactar,"Andrés Brody, Pablo Brody, Sebastián Friedman, Diego Silbert",Socios,,,,"200.000+ m2 construidos, 75.000 m2 proyectados. Alta gama. Corredor norte. Resignan superficie por calidad."
12,Baresa Real Estate,Múltiples emprendimientos (1400+ unidades entregadas),Varios CABA,CABA,Buenos Aires,baresa.com,@baresarealestate,Google,B - ICP probable,Sin contactar,,,,,,Pioneros en lofts. Edificios con domótica. Historial de innovación = posible early adopter.
13,Northbaires,Proyectos premium en CABA,Varios CABA,CABA,Buenos Aires,northbaires.com.ar,@northbaires,Google,B - ICP probable,Sin contactar,Marcos Juejati,Fundador,,,,Segmento premium US$4.000-10.000/m2. Residencial-comercial-mixto.
14,CRIBA Real Estate,"Bóreas Almagro, Bóreas Boedo, Quartier Lacroze",Almagro / Boedo / Chacarita,CABA,Buenos Aires,cribarealestate.com,@criba_re,Google,B - ICP probable,Sin contactar,,,,,,70 años. 300 profesionales. #1 ranking ARQ constructoras x6. División Real Estate separada.
15,Coronel Fernandez Real Estate,Eduardo Acevedo 200 (Caballito),Caballito,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,16 unidades de 2 amb. Entrega junio 2028. Proyecto chico pero en pozo.
16,Grupo Monarca,Lagoon Pilar,Pilar,GBA Norte,Buenos Aires,grupomonarca.com,@grupomonarca,Google,B - ICP probable,Sin contactar,,,,,,20 años. 650.000 m2 en 25 proyectos. Segmento residencial. Country/barrio cerrado.
17,Dypsa Group,"Torres Renoir, Young & Stones, Torre Mayor, Wenelen Suites (Vaca Muerta)",Pto Madero / San Telmo / Olivos / Neuquén,Multi-ciudad,Multi,dypsa.com,@dypsagroup,Google,B - ICP probable,Sin contactar,Issel Kiperszmid,CEO,,,,"40+ años. 2M+ m2. 11 ciudades ARG+URU. También en Vaca Muerta (Añelo)."
18,Di Mauro Arquitectura + Desarrollos,Edificio Castagnino (Maipú 500),Centro,Rosario,Santa Fe,,,Argenprop,B - ICP probable,Sin contactar,,,,,,41 dptos 1-2-3 dorm. Entrega abril 2026. Desde USD 105K. Amenities completos.
19,INGEMA Desarrollos,"Mitre 250, Sarmiento 485",Centro,Rosario,Santa Fe,ingema.com.ar,@ingemadesarrollos,Google,B - ICP probable,Sin contactar,,,,,,Dptos pozo-obra-terminados en Rosario. Dos proyectos activos.
20,Ahora Desarrollos Inmobiliarios,Pje. Rosales 1300 y otros,Centro,Rosario,Santa Fe,,@ahoradesarrollosinmobiliarios,Instagram,B - ICP probable,Sin contactar,,,,,,Activos en Instagram. Reciclaje + desarrollos nuevos. Rosario.
21,Rodriguez Bled Inmobiliaria,Entre Ríos 443 (en pozo),Centro,Rosario,Santa Fe,rodriguezbledinmobiliaria.com,,Google,B - ICP probable,Sin contactar,,,,,,Pozo centro Rosario. Entrega julio 2025. Financiación 40% + 36 cuotas.
22,EL ARCO,"Las Piedras 1276, Molina 1466, Groussac 72",Centro,San Miguel de Tucumán,Tucumán,construccion.elarco2.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,14+ años. Múltiples proyectos activos. Mercado Tucumán poca competencia tech.
23,AVANCO (Ing. Ruben Rojkes),"One Residence, The Point Housing, Quality Barrio Norte",Varios,San Miguel de Tucumán,Tucumán,avanco.com.ar,,Google,B - ICP probable,Sin contactar,Ing. Ruben Rojkes,Fundador / Director,,,,30+ años. Desarrollos residenciales variados. Tucumán.
24,Creaurbana (Grupo Emes),Martín Coronado 3300 (Barrio Parque),Barrio Parque,CABA,Buenos Aires,,,Ranking ARQ,B - ICP probable,Sin contactar,,,,,,"Ganadora International Property Awards 2025. Lujo. Puede valorar atención AI premium."
25,D'Aria Propiedades,Cabildo Boulevard (Cabildo y Monroe),Belgrano,CABA,Buenos Aires,daria.com.ar,@dariapropiedades,Google,B - ICP probable,Sin contactar,,,,,,1-2-3 amb. Barrancas de Belgrano. Amenities premium. Financiación 18 meses. Entrega oct 2027.
26,Cubero Rubio,Múltiples proyectos premium,Varios,CABA,Buenos Aires,,,Ranking ARQ,B - ICP probable,Sin contactar,,,,,,#3 en ranking desarrolladores ARQ 2025. Segmento medio-alto.
27,Qube Desarrollos,Levié by Qube (Nuñez),Nuñez,CABA,Buenos Aires,,,Zonaprop / Argenprop,B - ICP probable,Sin contactar,,,,,,2-3 dorm en suite. Asociados con Ocampo Propiedades para comercialización.
28,Newland Propiedades,Emprendimientos en Nuñez y Belgrano,Nuñez / Belgrano,CABA,Buenos Aires,,,Zonaprop,B - ICP probable,Sin contactar,,,,,,Desarrollos zona norte CABA. Presentes en Zonaprop.
29,Situar Inmobiliaria,Edificio Pavillon (Colpayo y Yerbal),Caballito,CABA,Buenos Aires,,@situarinmobiliaria,Instagram,B - ICP probable,Sin contactar,,,,,,3 dorm. Amenities. Activos en IG. Caballito.
30,Carino Propiedades,Edificio 39 (Calle 39 entre 6 y 7),Centro,La Plata,Buenos Aires,,@carinopropiedades,Instagram,B - ICP probable,Sin contactar,,,,,,2 dorm con cochera. En pozo. Activos en IG.
31,Omar Martinez Propiedades,Múltiples emprendimientos en pozo,Varios,CABA,Buenos Aires,emprendimientospozo.omartinez.com.ar,,Google,B - Broker especializado pozo,Sin contactar,,,,,,Broker exclusivo de pozo. Puede ser aliado o cliente.
32,Toribio Achaval,"Emprendimientos en Recoleta, Colegiales, Belgrano, Caballito, Nuñez",Recoleta / Colegiales / Belgrano / Caballito / Nuñez,CABA / GBA,Buenos Aires,toribioachaval.com,@toribioachaval,Argenprop / Google,B - Broker grande con emprendimientos,Sin contactar,,,,,,"Inmobiliaria tradicional. Múltiples emprendimientos de pozo. También interior y Uruguay. Podría ser aliado estratégico."
33,Nadlan Propiedades,Emprendimientos en preventa en Palermo / Almagro / V. Crespo / Flores,Palermo / Almagro / V. Crespo / Flores / Recoleta,CABA,Buenos Aires,nadlan.com.ar,,Google,B - Broker con emprendimientos,Sin contactar,,,,,,"Razón social TOBAPROP S.A. Dptos, locales, terrenos. Múltiples barrios."
34,Morganson,Arregui 2920 (Villa del Parque),Villa del Parque,CABA,Buenos Aires,morganson.com.ar,,Argenprop,B - ICP probable,Sin contactar,,,,,,7 pisos + terraza. Monoamb-2-3 amb. Entrega oct 2026. 1500+ m2.
35,Los Alpes Desarrollos,Proyectos en Caseros y Santos Lugares,Caseros / Santos Lugares,GBA Oeste,Buenos Aires,losalpesdesarrollos.com,,Instagram / Google,B - ICP probable,Sin contactar,,,,,,50+ años de experiencia. Emprendimientos en GBA Oeste.
36,Concept Inmobiliario,Edificio AMVA del Oeste (Haedo),Haedo,GBA Oeste,Buenos Aires,conceptinmobiliario.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,Sempisos 2-4 amb. Sobre Paseo Lineal. Diseño minimalista. Entrega 2025.
37,V. Romera (Constructora),Edificio QUADRA (Ituzaingó),Ituzaingó,GBA Oeste,Buenos Aires,vromera.com.ar,,Google / Argenprop,B - ICP probable,Sin contactar,,,,,,65 unidades en 9 pisos. Desde USD 50.775. Financiación 50% + 48 cuotas. Entrega 2028.
38,Oddone Propiedades,Edificio Lavalle 3 (Ituzaingó),Ituzaingó,GBA Oeste,Buenos Aires,oddonepropiedades.com.ar,,Argenprop,B - ICP probable,Sin contactar,,,,,,2-3 amb + oficinas PB. SUM-gym-piscina-parrillas. Financiación flexible. Entrega nov 2028.
39,Terrazas Bourdieu (desarrollador),Terrazas Bourdieu (Bourdieu 700 Tigre),Tigre Centro,GBA Norte,Buenos Aires,terrazasbourdieu.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,4 pisos aterrazados. 1-4 amb. Todas con cochera y terraza. Cuotas en pesos. A 2 cuadras estación.
40,Remeros Brickell (desarrollador),"Remeros Brickell (3 edificios, Camino de los Remeros)",Tigre,GBA Norte,Buenos Aires,remerosbrickell.com,,Google,B - ICP probable,Sin contactar,,,,,,Primer barrio cerrado en altura de Tigre. 1-2-3 amb. US$1.800-2.000/m2. Proyección retorno 45%.
41,Emprendimientos Tigre (portal),Múltiples proyectos en Tigre,Tigre,GBA Norte,Buenos Aires,emprendimientostigre.com.ar,,Google,B - Broker / portal,Sin contactar,,,,,,"Portal de proyectos reservados para inversores. Puede ser aliado."
42,Anton Arquitectos,Anton Lavalle 1100 (Quilmes),Quilmes,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,2-3-4 amb. Entrega dic 2025. Amenities en terraza. Financiación 40% + 15 cuotas.
43,Grupo Plazaverde,Terrazas de Quilmes (Guido 445),Quilmes,GBA Sur,Buenos Aires,plazaverde.com.ar,,Google / Argenprop,B - ICP probable,Sin contactar,,,,,,Torre 4 preventa. 3-4 amb. 70-100m2. Vigilancia 24hs + amenities. Financiación hipotecaria. También 8 locales comerciales.
44,Victorina FP (constructora),Victorina FP (Gral San Martín 100 Lomas de Zamora),Lomas de Zamora,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,15 dptos en 3 pisos. Entrega sept 2025. 25% + 24 cuotas. Trayectoria en Lanús-Escalada-Banfield.
45,Genesis Avellaneda (desarrollador),Genesis Avellaneda (España 200),Avellaneda,GBA Sur,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,11 plantas. 1-2-3-4 amb + dúplex. Desde USD 76.755. Entrega sept 2026. Centro Avellaneda.
46,Plus Barracas (desarrollador),Plus Barracas (40 dptos - 9 niveles),Barracas,CABA,Buenos Aires,plusbarracas.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,40 dptos. Piscina-gym-laundry-cowork-SUM. 54 cocheras. Diseño vanguardista.
47,Nuevo Siglo Propiedades,"Terrazas de Guzmán (12 dptos), otros en Barracas/San Telmo",Barracas / San Telmo,CABA,Buenos Aires,nuevosigloprop.com.ar,,Google,B - ICP probable,Sin contactar,,,,,,12 dptos 2-3 amb. Cerca Parque Lezama. Inmobiliaria especializada zona sur.
48,Grand Atlántida (desarrollador),Grand Atlántida (Azopardo 500 - 61+32 residencias),San Telmo / Pto Madero,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,61+32 unidades. 1-3 dorm. Entrega ago 2026. 40% anticipo. Gym-piscina-cowork.
49,Astillero Catalinas Sur (desarrollador),Astillero Catalinas Sur (Azopardo 1300 - 15 plantas),San Telmo,CABA,Buenos Aires,,,Argenprop,B - ICP probable,Sin contactar,,,,,,15 plantas. 1-2 dorm. Piscina semi-olímpica. 40% anticipo + cuotas. Cerca Usina del Arte.
